Year,County,Region,Child_Population,% of Children in Total Population,Total_Population
2018,Polk,5-Beaumont,9427,20,48283
2018,Potter,1-Lubbock,31388,26,122573
2018,Presidio,10-El Paso,1528,25,6206
2018,Rains,4-Tyler,2158,19,11281
2018,Randall,1-Lubbock,32312,24,134004
2018,Reagan,9-Midland,1137,28,4017
2018,Real,8-San Antonio,646,19,3392
2018,Red River,4-Tyler,2571,20,12673
2018,Reeves,9-Midland,3331,22,15287
2018,Refugio,11-Edinburg,1723,23,7554
2018,Roberts,1-Lubbock,230,24,976
2018,Robertson,7-Austin,3722,22,16823
2018,Rockwall,3-Arlington,24286,25,97062
2018,Runnels,2-Abilene,2551,23,10890
2018,Rusk,4-Tyler,11502,22,52892
2018,Sabine,5-Beaumont,1856,18,10116
2018,San Augustine,5-Beaumont,1627,19,8498
2018,San Jacinto,5-Beaumont,6266,22,28348
2018,San Patricio,11-Edinburg,18183,26,69908
2018,San Saba,7-Austin,1180,20,5901
2018,Schleicher,9-Midland,858,26,3292
2018,Scurry,2-Abilene,4522,25,18045
2018,Shackelford,2-Abilene,771,23,3387
2018,Shelby,5-Beaumont,6700,26,25580
2018,Sherman,1-Lubbock,853,27,3211
2018,Smith,4-Tyler,56574,25,230250
2018,Somervell,3-Arlington,1981,22,9101
2018,Starr,11-Edinburg,20000,31,64118
2018,Stephens,2-Abilene,2165,23,9567
2018,Sterling,9-Midland,265,22,1227
2018,Stonewall,2-Abilene,311,21,1513
2018,Sutton,9-Midland,986,23,4325
2018,Swisher,1-Lubbock,1829,24,7486
2018,Tarrant,3-Arlington,534355,26,2074551
2018,Taylor,2-Abilene,33984,25,137915
2018,Terrell,9-Midland,211,20,1044
2018,Terry,1-Lubbock,3410,26,12961
2018,Throckmorton,2-Abilene,308,20,1537
2018,Titus,4-Tyler,9247,28,32896
2018,Tom Green,9-Midland,27605,23,120367
2018,Travis,7-Austin,280278,23,1238590
2018,Trinity,5-Beaumont,2683,19,14321
2018,Tyler,5-Beaumont,4156,19,21396
2018,Upshur,4-Tyler,9164,22,41140
2018,Upton,9-Midland,1024,27,3853
2018,Uvalde,8-San Antonio,7006,25,27541
2018,Val Verde,8-San Antonio,13642,28,48408
2018,Van Zandt,4-Tyler,12325,22,54886
2018,Victoria,8-San Antonio,22894,24,95346
2018,Walker,6-Houston,12559,17,72447
2018,Waller,6-Houston,11389,23,49136
2018,Ward,9-Midland,3703,29,12880
2018,Washington,7-Austin,7632,22,34859
2018,Webb,11-Edinburg,82542,30,270758
2018,Wharton,6-Houston,10676,26,41833
2018,Wheeler,1-Lubbock,1421,25,5712
2018,Wichita,2-Abilene,29612,22,132841
2018,Wilbarger,2-Abilene,3070,23,13130
2018,Willacy,11-Edinburg,5481,25,22162
2018,Williamson,7-Austin,142204,26,552353
2018,Wilson,8-San Antonio,11355,23,49908
2018,Winkler,9-Midland,2663,30,8754
2018,Wise,3-Arlington,14816,23,64505
2018,Wood,4-Tyler,8842,20,44666
2018,Yoakum,1-Lubbock,2804,32,8899
2018,Young,2-Abilene,4385,23,18667
2018,Zapata,11-Edinburg,4655,32,14377
2018,Zavala,8-San Antonio,3818,31,12472
2017,Anderson,4-Tyler,11039,19,58342
2017,Andrews,9-Midland,5899,30,19526
2017,Angelina,5-Beaumont,23157,26,89557
2017,Aransas,11-Edinburg,4827,18,26228
2017,Archer,2-Abilene,1784,21,8516
2017,Armstrong,1-Lubbock,359,18,1952
2017,Atascosa,8-San Antonio,13029,26,49504
2017,Austin,6-Houston,6889,23,29801
2017,Bailey,1-Lubbock,2326,31,7525
2017,Bandera,8-San Antonio,3455,16,20992
2017,Bastrop,7-Austin,20397,25,82448
2017,Baylor,2-Abilene,806,22,3645
2017,Bee,11-Edinburg,7360,22,33657
2017,Bell,7-Austin,99550,29,341136
2017,Bexar,8-San Antonio,510454,26,1974510
2017,Blanco,7-Austin,2123,19,11201
2017,Borden,9-Midland,106,16,669
2017,Bosque,7-Austin,3762,21,17875
2017,Bowie,4-Tyler,20273,22,92598
2017,Brazoria,6-Houston,92622,26,356123
2017,Brazos,7-Austin,47661,22,217040
2017,Brewster,10-El Paso,2023,22,9204
2017,Briscoe,1-Lubbock,321,20,1582
2017,Brooks,11-Edinburg,1876,26,7195
2017,Brown,2-Abilene,8678,22,38758
2017,Burleson,7-Austin,3954,23,17551
2017,Burnet,7-Austin,10053,22,46513
2017,Caldwell,7-Austin,10691,25,42322
2017,Calhoun,8-San Antonio,5597,25,22436
2017,Callahan,2-Abilene,2718,20,13442
2017,Cameron,11-Edinburg,128001,30,422582
2017,Camp,4-Tyler,3260,25,13047
2017,Carson,1-Lubbock,1348,23,5877
2017,Cass,4-Tyler,6719,22,30442
2017,Castro,1-Lubbock,2046,28,7365
2017,Chambers,6-Houston,10433,26,39835
2017,Cherokee,4-Tyler,13272,26,51873
2017,Childress,1-Lubbock,1442,20,7079
2017,Clay,2-Abilene,2010,20,10075
2017,Cochran,1-Lubbock,926,28,3251
2017,Coke,9-Midland,640,20,3246
2017,Coleman,2-Abilene,1929,22,8609
2017,Collin,3-Arlington,251159,26,956327
2017,Collingsworth,1-Lubbock,838,27,3151
2017,Colorado,6-Houston,4903,23,21145
2017,Comal,8-San Antonio,29896,22,134065
2017,Comanche,2-Abilene,3028,23,13346
2017,Concho,9-Midland,556,13,4124
2017,Cooke,3-Arlington,9090,23,39339
2017,Coryell,7-Austin,20189,26,77317
2017,Cottle,2-Abilene,325,21,1514
2017,Crane,9-Midland,1594,29,5577
2017,Crockett,9-Midland,979,25,3953
2017,Crosby,1-Lubbock,1663,26,6326
2017,Culberson,10-El Paso,494,22,2288
2017,Dallam,1-Lubbock,2169,31,7060
2017,Dallas,3-Arlington,707820,27,2624075
2017,Dawson,9-Midland,3291,24,13644
2017,DeWitt,8-San Antonio,4569,22,21199
2017,Deaf Smith,1-Lubbock,5709,31,18470
2017,Delta,4-Tyler,1124,21,5340
2017,Denton,3-Arlington,203977,25,819532
2017,Dickens,1-Lubbock,356,16,2223
2017,Dimmit,8-San Antonio,3261,29,11140
2017,Donley,1-Lubbock,679,19,3488
2017,Duval,11-Edinburg,3060,26,11822
2017,Eastland,2-Abilene,4127,22,18357
2017,Ector,9-Midland,49906,30,168589
2017,Edwards,8-San Antonio,412,21,2009
2017,El Paso,10-El Paso,239329,28,854479
2017,Ellis,3-Arlington,44111,26,168947
2017,Erath,3-Arlington,8696,22,40231
2017,Falls,7-Austin,3479,21,16972
2017,Fannin,3-Arlington,7054,21,34370
2017,Fayette,7-Austin,5545,22,25545
2017,Fisher,2-Abilene,831,21,3979
2017,Floyd,1-Lubbock,1514,26,5928
2017,Foard,2-Abilene,241,19,1256
2017,Fort Bend,6-Houston,197864,26,754361
2017,Franklin,4-Tyler,2703,25,10802
2017,Freestone,7-Austin,4492,23,19863
2017,Frio,8-San Antonio,4558,24,19130
2017,Gaines,9-Midland,6949,34,20667
2017,Galveston,6-Houston,81747,24,335200
2017,Garza,1-Lubbock,1338,20,6691
2017,Gillespie,8-San Antonio,4874,19,25682
2017,Glasscock,9-Midland,296,22,1318
2017,Goliad,8-San Antonio,1536,20,7575
2017,Gonzales,8-San Antonio,5532,26,20937
2017,Gray,1-Lubbock,5860,25,23623
2017,Grayson,3-Arlington,30122,23,128563
2017,Gregg,4-Tyler,31821,26,124780
2017,Grimes,7-Austin,6220,22,28230
2017,Guadalupe,8-San Antonio,39851,25,157370
