Year,County,Region,Placement Intention,Count,Average Months since Termination of Parental Rights
2021,Montgomery,6-Houston,Permanent,44,11.3394428152493
2021,Moore,1-Lubbock,Not Permanent,2,24.7096774193548
2021,Moore,1-Lubbock,Permanent,13,12.5210918114144
2021,Morris,4-Tyler,Not Permanent,2,15.0483870967742
2021,Morris,4-Tyler,Permanent,3,4.52688172043011
2021,Nacogdoches,5-Beaumont,Not Permanent,20,21.5774193548387
2021,Nacogdoches,5-Beaumont,Permanent,36,15.8646953405018
2021,Navarro,3-Arlington,Not Permanent,2,52.9354838709677
2021,Navarro,3-Arlington,Permanent,7,4.86175115207373
2021,Newton,5-Beaumont,Not Permanent,1,93.3548387096774
2021,Nolan,2-Abilene,Not Permanent,2,15.2903225806452
2021,Nolan,2-Abilene,Permanent,4,10.6129032258065
2021,Nueces,11-Edinburg,Not Permanent,54,35.4056152927121
2021,Nueces,11-Edinburg,Permanent,12,31.002688172043
2021,Ochiltree,1-Lubbock,Not Permanent,1,11.1935483870968
2021,Ochiltree,1-Lubbock,Permanent,5,5.95483870967742
2021,Orange,5-Beaumont,Not Permanent,8,43.5483870967742
2021,Orange,5-Beaumont,Permanent,33,5.01857282502444
2021,Palo Pinto,3-Arlington,Not Permanent,19,34.8200339558574
2021,Palo Pinto,3-Arlington,Permanent,3,20.6344086021505
2021,Panola,4-Tyler,Not Permanent,7,48.2534562211982
2021,Panola,4-Tyler,Permanent,2,7.32258064516129
2021,Parker,3-Arlington,Not Permanent,33,25.5014662756598
2021,Parker,3-Arlington,Permanent,1,42.1612903225806
2021,Parmer,1-Lubbock,Permanent,1,7.35483870967742
2021,Pecos,9-Midland,Not Permanent,6,7.32258064516129
2021,Pecos,9-Midland,Permanent,4,9.69354838709677
2021,Polk,5-Beaumont,Not Permanent,2,5.83870967741935
2021,Polk,5-Beaumont,Permanent,5,19.2322580645161
2021,Potter,1-Lubbock,Not Permanent,54,20.1445639187575
2021,Potter,1-Lubbock,Permanent,64,7.12550403225806
2021,Rains,4-Tyler,Not Permanent,5,22.7870967741935
2021,Rains,4-Tyler,Permanent,7,15.668202764977
2021,Randall,1-Lubbock,Not Permanent,26,34.5446650124069
2021,Randall,1-Lubbock,Permanent,31,12.3381893860562
2021,Reagan,9-Midland,Permanent,1,15.8064516129032
2021,Real,8-San Antonio,Permanent,1,5.96774193548387
2021,Red River,4-Tyler,Not Permanent,1,18.6774193548387
2021,Red River,4-Tyler,Permanent,4,34.0967741935484
2021,Reeves,9-Midland,Not Permanent,1,12.1290322580645
2021,Reeves,9-Midland,Permanent,2,34.4677419354839
2021,Robertson,7-Austin,Not Permanent,3,19.3978494623656
2021,Robertson,7-Austin,Permanent,10,9.56451612903226
2021,Rockwall,3-Arlington,Not Permanent,5,15.9096774193548
2021,Rockwall,3-Arlington,Permanent,3,18.8387096774194
2021,Runnels,2-Abilene,Not Permanent,2,14.7096774193548
2021,Runnels,2-Abilene,Permanent,1,1.35483870967742
2021,Rusk,4-Tyler,Not Permanent,5,22.2193548387097
2021,Rusk,4-Tyler,Permanent,5,28.6645161290323
2021,Sabine,5-Beaumont,Not Permanent,1,7.7741935483871
2021,Sabine,5-Beaumont,Permanent,2,20.5806451612903
2021,San Augustine,5-Beaumont,Permanent,2,5.33870967741935
2021,San Jacinto,5-Beaumont,Permanent,10,9.43225806451613
2021,San Patricio,11-Edinburg,Not Permanent,16,26.8306451612903
2021,San Patricio,11-Edinburg,Permanent,5,8.96129032258065
2021,San Saba,7-Austin,Permanent,2,25.258064516129
2021,Scurry,2-Abilene,Permanent,3,31.1397849462366
2021,Shelby,5-Beaumont,Permanent,1,5.67741935483871
2021,Sherman,1-Lubbock,Permanent,1,17.3548387096774
2021,Smith,4-Tyler,Not Permanent,8,31.1733870967742
2021,Smith,4-Tyler,Permanent,33,14.8162267839687
2021,Somervell,3-Arlington,Not Permanent,1,56.0967741935484
2021,Starr,11-Edinburg,Not Permanent,1,67.2903225806452
2021,Starr,11-Edinburg,Permanent,1,1.61290322580645
2021,Stephens,2-Abilene,Not Permanent,1,88.2258064516129
2021,Stephens,2-Abilene,Permanent,2,12.1290322580645
2021,Sutton,9-Midland,Not Permanent,5,6.61290322580645
2021,Swisher,1-Lubbock,Not Permanent,1,37.9032258064516
2021,Swisher,1-Lubbock,Permanent,2,2.25806451612903
2021,Tarrant,3-Arlington,Not Permanent,183,22.9344262295082
2021,Tarrant,3-Arlington,Permanent,25,18.8916129032258
2021,Taylor,2-Abilene,Not Permanent,27,29.0848267622461
2021,Taylor,2-Abilene,Permanent,44,15.2470674486804
2021,Terry,1-Lubbock,Permanent,8,2.9758064516129
2021,Throckmorton,2-Abilene,Not Permanent,1,7.19354838709677
2021,Titus,4-Tyler,Not Permanent,5,75.6387096774194
2021,Titus,4-Tyler,Permanent,4,3.60483870967742
2021,Tom Green,9-Midland,Not Permanent,22,30.0425219941349
2021,Tom Green,9-Midland,Permanent,31,7.45785639958377
2021,Travis,7-Austin,Not Permanent,25,24.6012903225806
2021,Travis,7-Austin,Permanent,141,10.5147563486616
2021,Trinity,5-Beaumont,Not Permanent,1,46.0322580645161
2021,Trinity,5-Beaumont,Permanent,1,8.96774193548387
2021,Tyler,5-Beaumont,Not Permanent,1,36.741935483871
2021,Tyler,5-Beaumont,Permanent,8,9.75403225806452
2021,Upshur,4-Tyler,Not Permanent,7,20.7511520737327
2021,Upshur,4-Tyler,Permanent,23,13.7952314165498
2021,Upton,9-Midland,Permanent,2,3.30645161290323
2021,Uvalde,8-San Antonio,Not Permanent,10,46.7
2021,Uvalde,8-San Antonio,Permanent,2,3.58064516129032
2021,Val Verde,8-San Antonio,Not Permanent,5,7.14838709677419
2021,Val Verde,8-San Antonio,Permanent,7,10.6267281105991
2021,Van Zandt,4-Tyler,Not Permanent,19,17.6434634974533
2021,Van Zandt,4-Tyler,Permanent,28,6.45506912442396
2021,Victoria,8-San Antonio,Not Permanent,22,29.1495601173021
2021,Victoria,8-San Antonio,Permanent,15,15.6817204301075
2021,Walker,6-Houston,Not Permanent,1,0.580645161290323
2021,Walker,6-Houston,Permanent,1,29.6129032258065
2021,Waller,6-Houston,Not Permanent,3,24.6344086021505
2021,Waller,6-Houston,Permanent,4,18.0887096774194
2021,Ward,9-Midland,Not Permanent,10,17.2
2021,Washington,7-Austin,Permanent,1,12.8709677419355
2021,Webb,11-Edinburg,Not Permanent,55,46.0979472140762
2021,Webb,11-Edinburg,Permanent,14,12.0529953917051
2021,Wharton,6-Houston,Permanent,1,2.41935483870968
2021,Wichita,2-Abilene,Not Permanent,23,29.3253856942497
2021,Wichita,2-Abilene,Permanent,26,21.7890818858561
