Econ_Region,Year,County,Region,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV,Physician_Access,Uninsured Rate,Graduation Rate,Personal Income per Capita,Average Wages,Population Density
Alamo,2013,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5557,21840,22,1,2,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,3013,14926,51,9,NA,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,8570,36647,36,6,NA,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3702,20685,65,12,1,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4495,19562,41,4,6,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4903,25153,51,11,2,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,482657,1823167,5571,1008,274,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,10024,50330,155,21,1,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1564,7359,2,NA,3,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,37523,141895,215,41,20,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12882,46746,254,50,9,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3725,14596,14,1,4,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11617,47316,190,31,7,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22839,89755,252,46,13,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4457,20526,57,6,NA,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5433,20306,38,8,1,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2013,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4295,18006,105,29,2,NA,NA,NA,NA,NA,NA,184,22.4,87.7,40132,43291,148.8
Alamo,2014,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3621,20763,66,18,2,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
