long,lat,group,order,region,subregion,long.1,lat.1
-99.35661315917969,34.45768356323242,50,13095,texas,NA,59238.80973478052,-1170374.2889625302
-99.33369445800781,34.44622039794922,50,13096,texas,NA,61357.94792502451,-1171627.2479877328
-99.3165054321289,34.423301696777344,50,13097,texas,NA,62959.217104062416,-1174152.2432847314
-99.29358673095703,34.41184616088867,50,13098,texas,NA,65079.801989912,-1175403.318448739
-99.26493835449219,34.40038299560547,50,13099,texas,NA,67728.92226937604,-1176650.1043983265
-99.23628997802734,34.36600875854492,50,13100,texas,NA,70399.36831177228,-1180432.5810403908
-99.21337127685547,34.34309005737305,50,13101,texas,NA,72533.13962164664,-1182950.7008702948
-99.1904525756836,34.34309005737305,50,13102,texas,NA,74646.34044170154,-1182930.8565980874
-99.1904525756836,34.308712005615234,50,13103,texas,NA,74679.02253327948,-1186736.8483629709
-99.20191192626953,34.24568557739258,50,13104,texas,NA,73680.98241984473,-1193724.223815573
-99.1904525756836,34.2227668762207,50,13105,texas,NA,74760.6475626328,-1196251.360204131
-99.16180419921875,34.21131134033203,50,13106,texas,NA,77417.44004220665,-1197493.854777681
-99.09305572509766,34.20558166503906,50,13107,texas,NA,83772.99273752123,-1198062.970606515
-99.04148864746094,34.20558166503906,50,13108,texas,NA,88535.92019436447,-1198010.7304412907
-99.01283264160156,34.21131134033203,50,13109,texas,NA,91176.04915205567,-1197346.1890343183
-98.98418426513672,34.2227668762207,50,13110,texas,NA,93808.25679834808,-1196046.9188581875
-98.94981384277344,34.21131134033203,50,13111,texas,NA,96996.19409524596,-1197276.4681277035
-98.9211654663086,34.18266296386719,50,13112,texas,NA,99678.23150347566,-1200414.6080175275
-98.88105773925781,34.16547393798828,50,13113,texas,NA,103406.23187146774,-1202269.4438890128
-98.83522033691406,34.15401077270508,50,13114,texas,NA,107657.58015191711,-1203481.4563870942
-98.80084228515625,34.15401077270508,50,13115,texas,NA,110834.79999996966,-1203437.3051157265
-98.76646423339844,34.148284912109375,50,13116,texas,NA,114020.26820852405,-1204025.6667356452
-98.74927520751953,34.13109588623047,50,13117,texas,NA,115634.14328815663,-1205905.1030059557
-98.72063446044922,34.13682556152344,50,13118,texas,NA,118273.26293807571,-1205231.5201552808
-98.69197845458984,34.15401077270508,50,13119,texas,NA,120895.84646477281,-1203289.0210618225
-98.65760040283203,34.15401077270508,50,13120,texas,NA,124072.96946519174,-1203239.5192547683
-98.62895965576172,34.15401077270508,50,13121,texas,NA,126719.84789940233,-1203197.298187606
-98.60603332519531,34.17692947387695,50,13122,texas,NA,128801.18848685967,-1200625.9939867628
-98.57738494873047,34.15401077270508,50,13123,texas,NA,131486.15856905116,-1203119.021233086
-98.554473876953125,34.142555236816406,50,13124,texas,NA,133622.87089714876,-1204351.3059467718
-98.53728485107422,34.096717834472656,50,13125,texas,NA,135290.08374841668,-1209397.6431544472
-98.508636474609375,34.07379913330078,50,13126,texas,NA,137979.49218530796,-1211888.3128022458
-98.48571014404297,34.062339782714844,50,13127,texas,NA,140120.63273460823,-1213119.164664275
-98.44561004638672,34.06807327270508,50,13128,texas,NA,143820.263372279,-1212417.6886174865
-98.42269134521484,34.08525848388672,50,13129,texas,NA,145908.82324787095,-1210476.6224173452
-98.4112319946289,34.08525848388672,50,13130,texas,NA,146968.71890609877,-1210456.9007336283
-98.39404296875,34.142555236816406,50,13131,texas,NA,148450.87472261998,-1204085.317842277
-98.38258361816406,34.15401077270508,50,13132,texas,NA,149488.2988364244,-1202797.2900155783
-98.35393524169922,34.16547393798828,50,13133,texas,NA,152113.59956961748,-1201477.6868336373
-98.325286865234375,34.15401077270508,50,13134,texas,NA,154783.0752700464,-1202694.8124127078
-98.279449462890625,34.1253662109375,50,13135,texas,NA,159076.5336308337,-1205780.7261264839
-98.210693359375,34.11963653564453,50,13136,texas,NA,165444.37047954288,-1206283.7524115816
-98.18205261230469,34.11963653564453,50,13137,texas,NA,168092.08410245506,-1206227.6086477078
-98.15912628173828,34.13109588623047,50,13138,texas,NA,170186.81655608153,-1204913.7062371848
-98.13048553466797,34.15401077270508,50,13139,texas,NA,172783.9472974547,-1202319.7234936862
-98.11328887939453,34.148284912109375,50,13140,texas,NA,174385.62485779342,-1202918.3769227932
-98.09037780761719,34.13682556152344,50,13141,texas,NA,176528.44390195448,-1204139.4448867294
-98.08464813232422,34.11963653564453,50,13142,texas,NA,177096.5311490154,-1206029.9974774122
-98.101837158203125,34.08525848388672,50,13143,texas,NA,175583.88129479,-1209870.4692431395
-98.09610748291016,34.03942108154297,50,13144,texas,NA,176215.81933592728,-1214931.5881139725
-98.07318115234375,34.010772705078125,50,13145,texas,NA,178401.8394079358,-1218054.3227837065
-98.04454040527344,33.99931716918945,50,13146,texas,NA,181079.25061132168,-1219261.59357027
-97.99870300292969,34.010772705078125,50,13147,texas,NA,185296.15029958083,-1217895.2006158638
-97.964324951171875,33.99358367919922,50,13148,texas,NA,188519.28065209996,-1219721.942954631
-97.94713592529297,33.98212814331055,50,13149,texas,NA,190138.20347983437,-1220951.4236984036
-97.964324951171875,33.9534797668457,50,13150,texas,NA,188614.59733013375,-1224159.9423855094
-97.97578430175781,33.91910171508789,50,13151,texas,NA,187634.2805582374,-1227989.5077559054
-97.97578430175781,33.91337203979492,50,13152,texas,NA,187647.80910836317,-1228623.5386995696
-97.95286560058594,33.86753463745117,50,13153,texas,NA,189881.31441684352,-1233644.867220039
-97.90702819824219,33.850345611572266,50,13154,texas,NA,194173.8338619785,-1235443.5132459872
-97.88410949707031,33.83888626098633,50,13155,texas,NA,196327.81366851053,-1236658.9476516158
-97.86119079589844,33.83888626098633,50,13156,texas,NA,198453.83290681426,-1236605.8385985177
-97.8325424194336,33.8618049621582,50,13157,texas,NA,201053.45158898988,-1234002.7241991204
-97.80389404296875,33.896183013916016,50,13158,texas,NA,203622.1480168406,-1230130.6931619635
-97.780975341796875,33.92483139038086,50,13159,texas,NA,205672.42886708336,-1226905.5697953666
-97.76378631591797,33.942020416259766,50,13160,texas,NA,207220.3134873939,-1224961.8361750375
-97.73514556884766,33.9534797668457,50,13161,texas,NA,209843.27546869215,-1223623.6380967323
-97.71794891357422,33.97639846801758,50,13162,texas,NA,211375.05744017416,-1221044.9738797885
-97.695037841796875,33.98212814331055,50,13163,texas,NA,213481.141818796,-1220353.7644552824
-97.65492248535156,33.98212814331055,50,13164,texas,NA,217195.40439772734,-1220252.2846581559
-97.62054443359375,33.97639846801758,50,13165,texas,NA,220394.32459376683,-1220797.9509373975
-97.5976333618164,33.942020416259766,50,13166,texas,NA,222612.15037406437,-1224542.4207716272
-97.58617401123047,33.90764236450195,50,13167,texas,NA,223770.47527759412,-1228316.3423389888
-97.5632553100586,33.901912689208984,50,13168,texas,NA,225910.69624829147,-1228889.8081560784
-97.54606628417969,33.92483139038086,50,13169,texas,NA,227438.15341627147,-1226308.119079656
-97.51741790771484,33.91337203979492,50,13170,texas,NA,230125.64016382402,-1227499.1101464252
-97.48876953125,33.91337203979492,50,13171,texas,NA,232780.29262745293,-1227421.2383833793
-97.465850830078125,33.87899398803711,50,13172,texas,NA,235005.5764944476,-1231162.0734841246
-97.45439147949219,33.83315658569336,50,13173,texas,NA,236203.84683834965,-1236201.898775473
-97.42574310302734,33.810237884521484,50,13174,texas,NA,238929.8169556294,-1238657.6821302918
-97.39136505126953,33.79878234863281,50,13175,texas,NA,242154.1945614023,-1239828.0052926196
-97.328338623046875,33.86753463745117,50,13176,texas,NA,247788.52092904647,-1232040.1814509232
-97.305419921875,33.8618049621582,50,13177,texas,NA,249931.28748197772,-1232607.1391643079
-97.27677917480469,33.8618049621582,50,13178,texas,NA,252586.7067054002,-1232522.6443981328
-97.25958251953125,33.901912689208984,50,13179,texas,NA,254052.9412863285,-1228033.9859790627
-97.2366714477539,33.91337203979492,50,13180,texas,NA,256139.09098592616,-1226697.4672203276
-97.20801544189453,33.901912689208984,50,13181,texas,NA,258831.4311448856,-1227878.6867167791
-97.18510437011719,33.86753463745117,50,13182,texas,NA,261067.2774907032,-1231612.2749420595
-97.17363739013672,33.8446159362793,50,13183,texas,NA,262205.7855908797,-1234112.6620152283
-97.19083404541016,33.82170104980469,50,13184,texas,NA,260686.12131586275,-1236700.5895037442
-97.2137451171875,33.793052673339844,50,13185,texas,NA,258653.88434958484,-1239939.8293515844
-97.196563720703125,33.75294494628906,50,13186,texas,NA,260379.0080357364,-1244324.5345372153
-97.16790771484375,33.71856689453125,50,13187,texas,NA,263152.5664274235,-1248039.5462859194
-97.13926696777344,33.71283721923828,50,13188,texas,NA,265831.644689277,-1248584.4847529249
-97.1106185913086,33.72429656982422,50,13189,texas,NA,268454.0345425012,-1247227.0380855794
-97.09915924072266,33.75294494628906,50,13190,texas,NA,269421.5739824231,-1244021.7220599717
-97.09915924072266,33.79878234863281,50,13191,texas,NA,269266.8364580521,-1238950.9285500504
-97.08196258544922,33.810237884521484,50,13192,texas,NA,270823.41081340815,-1237629.111105542
-97.1106185913086,33.82742691040039,50,13193,texas,NA,268107.2632234885,-1235818.14555601
-97.1106185913086,33.850345611572266,50,13194,texas,NA,268030.1199040638,-1233282.6077353798
-97.08769989013672,33.856075286865234,50,13195,texas,NA,270135.6900961108,-1232576.3082753543
-97.059051513671875,33.8446159362793,50,13196,texas,NA,272830.99944194633,-1233752.7608792465
-97.0361328125,33.83315658569336,50,13197,texas,NA,274995.677636786,-1234946.807130777
-96.97883605957031,33.88472366333008,50,13198,texas,NA,280127.5673659678,-1229055.1522620476
-96.99029541015625,33.9534797668457,50,13199,texas,NA,278824.1952081679,-1221485.8651638408
-96.9444580078125,33.9534797668457,50,13200,texas,NA,283068.42854191555,-1221334.5896216747
-96.91580963134766,33.96493911743164,50,13201,texas,NA,285679.7696016299,-1219971.0430600548
-96.89289093017578,33.94774627685547,50,13202,texas,NA,287863.8615208292,-1221796.0051090529
-96.88143157958984,33.856075286865234,50,13203,texas,NA,289258.33185900893,-1231898.9018121972
-96.86425018310547,33.8446159362793,50,13204,texas,NA,290892.954146839,-1233108.0936047505
-96.84132385253906,33.8618049621582,50,13205,texas,NA,292955.29557331675,-1231127.948784907
-96.80121612548828,33.8618049621582,50,13206,texas,NA,296673.0018680952,-1230989.1051569248
-96.76683807373047,33.83315658569336,50,13207,texas,NA,299967.4597136649,-1234037.8868923914
-96.73819732666016,33.82170104980469,50,13208,texas,NA,302666.63374391,-1235203.7935694277
-96.71527099609375,33.83315658569336,50,13209,texas,NA,304748.87978839927,-1233854.8279175742
-96.6923599243164,33.88472366333008,50,13210,texas,NA,306674.4421872778,-1228068.0877683037
-96.66943359375,33.91337203979492,50,13211,texas,NA,308687.51438232407,-1224815.9913219782
-96.64079284667969,33.90764236450195,50,13212,texas,NA,311362.79425545264,-1225345.5542386777
-96.63506317138672,33.88472366333008,50,13213,texas,NA,311983.45894393517,-1227859.9476541586
-96.61214447021484,33.88472366333008,50,13214,texas,NA,314107.01725089544,-1227775.6908865662
-96.59495544433594,33.89045333862305,50,13215,texas,NA,315676.9219753517,-1227078.2931871344
-96.58922576904297,33.86753463745117,50,13216,texas,NA,316298.88657820964,-1229592.3308364258
-96.61214447021484,33.850345611572266,50,13217,texas,NA,314242.75762978377,-1231578.6239654534
-96.63506317138672,33.8446159362793,50,13218,texas,NA,312140.74407150864,-1232296.7191588397
-96.62360382080078,33.82170104980469,50,13219,texas,NA,313293.18373397656,-1234789.4506444645
-96.54338836669922,33.810237884521484,50,13220,texas,NA,320777.4970257205,-1235758.8887537303
-96.52619934082031,33.78731918334961,50,13221,texas,NA,322464.25927079894,-1238229.0809069253
-96.514739990234375,33.764400482177734,50,13222,texas,NA,323620.2293977364,-1240720.660790655
-96.48036193847656,33.764400482177734,50,13223,texas,NA,326810.1498903286,-1240589.4329671953
-96.45745086669922,33.77013397216797,50,13224,texas,NA,328912.3864475126,-1239867.0971953038
-96.423065185546875,33.747215270996094,50,13225,texas,NA,332198.04846926563,-1242268.6275952575
-96.38868713378906,33.72429656982422,50,13226,texas,NA,335484.7328626271,-1244668.802194094
-96.36577606201172,33.695648193359375,50,13227,texas,NA,337732.5799778255,-1247746.793161596
-96.33712005615234,33.695648193359375,50,13228,texas,NA,340393.61062412156,-1247632.7835574797
-96.31420135498047,33.741485595703125,50,13229,texas,NA,342325.4154709204,-1242471.4262569083
-96.291290283203125,33.747215270996094,50,13230,texas,NA,344426.96406428405,-1241745.389318319
-96.26263427734375,33.75294494628906,50,13231,texas,NA,347061.2444761729,-1240995.4013837466
-96.23399353027344,33.75294494628906,50,13232,texas,NA,349718.7786940557,-1240878.2849960937
-96.21107482910156,33.75294494628906,50,13233,texas,NA,351845.33747849823,-1240783.9230672102
-96.18815612792969,33.77013397216797,50,13234,texas,NA,353895.6352205162,-1238787.916559078
-96.153778076171875,33.82170104980469,50,13235,texas,NA,356853.79751584877,-1232941.1397900593
-96.1136703491211,33.83315658569336,50,13236,texas,NA,360520.00039965095,-1231505.2159865487
-96.06783294677734,33.856075286865234,50,13237,texas,NA,364663.4826693287,-1228775.1875520053
-95.99907684326172,33.850345611572266,50,13238,texas,NA,371060.8244128532,-1229111.8800432496
-95.98188781738281,33.83888626098633,50,13239,texas,NA,372707.193701717,-1230304.2090048734
-95.96470642089844,33.86753463745117,50,13240,texas,NA,374164.7240035429,-1227060.3756168834
-95.91886901855469,33.86753463745117,50,13241,texas,NA,378410.9347970889,-1226857.8124518937
-95.86156463623047,33.86753463745117,50,13242,texas,NA,383719.215492555,-1226601.3574252336
-95.82719421386719,33.86753463745117,50,13243,texas,NA,386902.95094722055,-1226445.823866222
-95.7870864868164,33.86753463745117,50,13244,texas,NA,390618.0355663186,-1226262.7017450484
-95.792816162109375,33.896183013916016,50,13245,texas,NA,389946.8126420221,-1223120.5918682138
-95.78135681152344,33.91337203979492,50,13246,texas,NA,390923.30429381976,-1221166.9780582318
-95.746978759765625,33.90764236450195,50,13247,texas,NA,394134.1479750385,-1221642.146457313
-95.72978973388672,33.91910171508789,50,13248,texas,NA,395668.3724343077,-1220295.0471560606
-95.701141357421875,33.90764236450195,50,13249,texas,NA,398377.56277241296,-1221428.7862313061
-95.6610336303711,33.92483139038086,50,13250,texas,NA,402003.44321233995,-1219339.224168594
-95.62092590332031,33.95920944213867,50,13251,texas,NA,405539.7364146472,-1215346.9135489408
-95.5865478515625,33.95920944213867,50,13252,texas,NA,408719.94793933997,-1215182.4592446338
-95.563629150390625,33.9534797668457,50,13253,texas,NA,410869.7109732375,-1215705.7736196027
-95.55217742919922,33.91337203979492,50,13254,texas,NA,412137.24574595783,-1220085.9719770404
-95.52925109863281,33.896183013916016,50,13255,texas,NA,414348.83400021633,-1221875.5787329997
-95.48341369628906,33.901912689208984,50,13256,texas,NA,418561.9987168804,-1221017.7193908815
-95.43757629394531,33.89045333862305,50,13257,texas,NA,422865.8438372289,-1222058.412379916
-95.4031982421875,33.88472366333008,50,13258,texas,NA,426079.0734638032,-1222520.6008420344
-95.36882781982422,33.901912689208984,50,13259,texas,NA,429168.2220684067,-1220447.174741887
-95.32299041748047,33.91337203979492,50,13260,texas,NA,433348.2250633232,-1218947.7698050453
-95.3000717163086,33.90764236450195,50,13261,texas,NA,435500.51992576057,-1219464.387237753
-95.28288269042969,33.91337203979492,50,13262,texas,NA,437059.75518349756,-1218742.7077348223
-95.26569366455078,33.95920944213867,50,13263,texas,NA,438397.1819607363,-1213585.5953657445
-95.2427749633789,33.98212814331055,50,13264,texas,NA,440389.46720454394,-1210932.8505444294
-95.16255950927734,33.97639846801758,50,13265,texas,NA,447837.8539718458,-1211147.7877898614
-95.14537048339844,33.96493911743164,50,13266,texas,NA,449491.9971989784,-1212324.3141438842
-95.110992431640625,33.942020416259766,50,13267,texas,NA,452801.5584872719,-1214676.317724197
-95.09381103515625,33.91910171508789,50,13268,texas,NA,454521.8538023859,-1217118.9146190616
-95.07088470458984,33.896183013916016,50,13269,texas,NA,456774.64164327085,-1219530.300384045
-95.03077697753906,33.88472366333008,50,13270,texas,NA,460552.5980391391,-1220581.219013464
-94.99066925048828,33.89045333862305,50,13271,texas,NA,464231.1158832169,-1219729.8590829622
-94.96775817871094,33.87899398803711,50,13272,texas,NA,466418.55421288,-1220871.6021788656
-94.956298828125,33.850345611572266,50,13273,texas,NA,467647.5383575167,-1223976.118776765
-94.89899444580078,33.793052673339844,50,13274,texas,NA,473293.32423126174,-1229993.5353218687
-94.8646240234375,33.77586364746094,50,13275,texas,NA,476580.36344396044,-1231702.1050535382
-94.83024597167969,33.77586364746094,50,13276,texas,NA,479765.9698539851,-1231509.087716491
-94.795867919921875,33.77586364746094,50,13277,texas,NA,482951.48028939567,-1231314.7830298292
-94.78440856933594,33.75294494628906,50,13278,texas,NA,484152.3646282815,-1233783.2469523973
-94.750030517578125,33.747215270996094,50,13279,texas,NA,487373.6506432673,-1234220.5535752058
-94.73284149169922,33.73002624511719,50,13280,texas,NA,489072.1655504683,-1236022.0966620129
-94.71565246582031,33.735755920410156,50,13281,texas,NA,490630.5044583708,-1235289.900243413
-94.6984634399414,33.71856689453125,50,13282,texas,NA,492329.8664135001,-1237090.7459080778
-94.6812744140625,33.73002624511719,50,13283,texas,NA,493852.7300647663,-1235724.5779832476
-94.6640853881836,33.72429656982422,50,13284,texas,NA,495481.7495780211,-1236258.090212067
-94.6640853881836,33.695648193359375,50,13285,texas,NA,495659.4355167677,-1239424.6908242367
-94.64690399169922,33.695648193359375,50,13286,texas,NA,497252.86217784433,-1239324.5694746599
-94.62397766113281,33.70710754394531,50,13287,texas,NA,499307.4450320678,-1237923.8593092195
-94.57814025878906,33.689918518066406,50,13288,texas,NA,503665.95650277607,-1239553.9296098198
-94.54949951171875,33.66127014160156,50,13289,texas,NA,506503.5052627213,-1242550.5212273954
-94.4979248046875,33.66699981689453,50,13290,texas,NA,511251.48120927735,-1241609.2362118072
