"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Donley","$45,531","$149,251,000","$41,093","$31,965","16.4","24.5"
"Duval","$39,029","$435,444,000","$37,100","$38,808","23.9","33.5"
"Eastland","$78,826","$1,447,238,000","$46,991","$52,027","16.7","24.2"
"Ector","$50,161","$8,337,928,000","$65,564","$64,472","12.1","17"
"Edwards","$45,429","$87,769,000","$40,424","$40,388","20.7","34.5"
"El Paso","$37,715","$31,651,549,000","$48,629","$39,993","18.8","26.2"
"Ellis","$45,968","$8,496,165,000","$78,341","$45,867","8.7","12.8"
"Erath","$40,462","$1,727,640,000","$53,044","$37,314","15.2","18.9"
"Falls","$35,258","$609,859,000","$41,484","$38,232","21.6","28.1"
"Fannin","$39,830","$1,414,505,000","$56,123","$42,205","13.2","16.1"
"Fayette","$54,552","$1,382,683,000","$62,195","$42,509","10.9","15.3"
"Fisher","$44,630","$170,934,000","$51,053","$43,639","13.3","22.2"
"Floyd","$44,646","$255,020,000","$45,022","$36,360","17.3","30.3"
"Foard","$44,895","$51,854,000","$38,615","$30,348","17","26.2"
"Fort Bend","$59,653","$48,419,712,000","$101,361","$52,506","6.6","7.4"
"Franklin","$41,307","$443,022,000","$50,630","$43,137","14.4","22.8"
"Freestone","$38,182","$752,829,000","$52,511","$42,993","15.5","19.5"
"Frio","$30,223","$613,716,000","$40,360","$52,360","27.7","35.9"
"Gaines","$44,405","$954,346,000","$67,171","$55,226","13.2","19.5"
"Galveston","$54,250","$18,561,154,000","$73,214","$51,357","11.3","16.1"
"Garza","$32,601","$203,070,000","$48,975","$43,816","24.2","24.4"
"Gillespie","$63,291","$1,708,105,000","$62,143","$40,023","8.5","13.6"
"Glasscock","$84,623","$119,234,000","$93,759","$56,354","7.9","10.7"
"Goliad","$45,589","$349,121,000","$56,758","$42,771","13.4","22.5"
"Gonzales","$44,789","$933,271,000","$48,425","$43,715","16.2","23.7"
"Gray","$44,127","$965,766,000","$52,543","$50,227","14.5","19"
"Grayson","$43,987","$5,991,490,000","$57,439","$44,719","11.6","17.1"
"Gregg","$47,109","$5,838,955,000","$53,137","$48,485","16.5","24.2"
"Grimes","$36,909","$1,065,941,000","$51,651","$51,571","15.9","20.5"
"Guadalupe","$45,797","$7,641,166,000","$78,801","$46,087","7.4","11.2"
"Hale","$35,633","$1,190,367,000","$49,187","$38,710","17.9","23.9"
"Hall","$33,095","$98,095,000","$35,940","$29,765","25.4","40.5"
"Hamilton","$60,584","$512,599,000","$52,505","$38,388","14.3","21.9"
"Hansford","$65,330","$352,717,000","$58,703","$55,688","11.7","16.8"
"Hardeman","$42,023","$165,278,000","$40,057","$37,028","19.2","32.9"
"Hardin","$47,221","$2,720,004,000","$62,616","$44,753","12.1","16.2"
"Harris","$60,002","$282,809,166,000","$61,638","$72,710","15","21.3"
"Harrison","$42,891","$2,854,497,000","$55,171","$51,401","17.8","26.8"
"Hartley","$81,238","$452,982,000","$72,796","$42,036","8.6","8.3"
"Haskell","$39,899","$225,748,000","$38,613","$32,726","20.7","29"
"Hays","$45,332","$10,435,043,000","$72,890","$42,158","11.2","11.3"
"Hemphill","$57,053","$217,886,000","$71,299","$62,120","9.1","11.7"
"Henderson","$40,135","$3,320,621,000","$49,896","$38,325","17.5","30.3"
"Hidalgo","$27,415","$23,815,443,000","$41,656","$35,208","26.9","37.4"
"Hill","$41,240","$1,511,408,000","$53,210","$42,712","13.1","18.1"
"Hockley","$42,162","$970,619,000","$51,149","$59,590","15.5","19.7"
"Hood","$51,384","$3,167,445,000","$74,534","$45,031","9.2","14.8"
"Hopkins","$41,562","$1,541,276,000","$50,332","$40,013","14.7","20.2"
"Houston","$39,609","$909,748,000","$43,601","$52,396","20.9","28.8"
"Howard","$43,348","$1,589,317,000","$61,112","$52,657","17","18.6"
"Hudspeth","$23,569","$115,159,000","$39,309","$60,645","28","41.2"
"Hunt","$38,892","$3,834,561,000","$57,513","$50,615","14.8","20.3"
"Hutchinson","$43,981","$920,878,000","$57,936","$64,187","11.4","16.3"
"Irion","$72,177","$110,864,000","$68,630","$62,897","7.4","9"
"Jack","$40,827","$364,786,000","$55,358","$50,017","15.6","19.4"
"Jackson","$46,596","$687,760,000","$55,800","$47,038","13.8","18.4"
"Jasper","$40,834","$1,450,787,000","$47,252","$42,528","19.5","28.2"
"Jeff Davis","$43,080","$97,963,000","$53,362","$34,431","12.7","39"
"Jefferson","$44,613","$11,223,148,000","$55,173","$58,104","16.9","24.4"
"Jim Hogg","$33,602","$174,729,000","$38,788","$41,009","22.8","35"
"Jim Wells","$42,174","$1,707,270,000","$44,444","$49,075","21","29"
"Johnson","$43,759","$7,693,658,000","$66,538","$46,847","11","15.9"
"Jones","$32,639","$655,494,000","$51,094","$39,352","20.4","22"
"Karnes","$56,449","$880,663,000","$54,843","$59,685","21","27"
"Kaufman","$43,972","$5,987,018,000","$75,009","$44,692","9.8","13.8"
"Kendall","$81,882","$3,883,727,000","$94,899","$50,465","7.4","10.9"
"Kenedy","$42,262","$17,074,000","$46,132","$71,084","14.2","21.4"
"Kent","$54,630","$41,628,000","$52,591","$39,451","11.5","14.1"
